spec,beta,se,p,n,G
0. Primary (prereg s7),-0.39769180792171505,1.0168209508041492,0.6958208573214664,840,20
1. Flow-based exposure,-0.43819904962171924,3.353593600719326,0.8960736881113582,840,20
2. Gross capital stocks,0.12851911337689298,1.078219653549874,0.90515110782616,840,20
3. Full sample 1997Q1-2026Q1,-2.06662397142709,2.13266309637037,0.3326344319575185,2339,20
4. No COVID exclusion,-0.9009518742769621,1.0128400941408815,0.37397438498905644,900,20
5. COVID exclusion incl 2021Q1,-0.035593331336799316,1.1161050287000502,0.974567627266637,820,20
8. Binary above/below median,-0.9553410162971369,0.7487789039970596,0.20238392257486537,840,20
9a. Tercile mid (vs low),-0.04315227400243514,1.2112548015549915,0.9715896540096709,840,20
9b. Tercile high (vs low),-0.0815080235263199,0.5532901507007297,0.8829214883062413,840,20
